Model,Existence,Count,Position,Color,Poster,Celebrity,Scene,Landmark,Artwork,OCR,Commensense Reasoning,Numerical Calculation,Text Translation,Code Reasoning
BLIP-2,160.00 ,135.00 ,73.33 ,148.33 ,141.84 ,105.59 ,145.25 ,138.00 ,136.50 ,110.00 ,110.00 ,40.00 ,65.00 ,75.00 
MiniGPT-4,68.33 ,55.00 ,43.33 ,75.00 ,41.84 ,54.41 ,71.75 ,54.00 ,60.50 ,57.50 ,59.29 ,45.00 ,0.00 ,40.00 
mPLUG-Owl,120.00 ,50.00 ,50.00 ,55.00 ,136.05 ,100.29 ,135.50 ,159.25 ,96.25 ,65.00 ,78.57 ,60.00 ,80.00 ,57.50 
ImageBind_LLM,128.33 ,60.00 ,46.67 ,73.33 ,64.97 ,76.47 ,113.25 ,62.00 ,70.75 ,80.00 ,48.57 ,55.00 ,50.00 ,60.00 
LLaMA-Adapter V2,185.00 ,133.33 ,56.67 ,118.33 ,147.96 ,136.76 ,156.25 ,167.84 ,123.75 ,102.50 ,106.43 ,47.50 ,112.50 ,90.00 
InstructBLIP,185.00 ,143.33 ,66.67 ,153.33 ,123.81 ,101.18 ,153.00 ,79.75 ,134.25 ,72.50 ,129.29 ,40.00 ,65.00 ,57.50 
VisualGLM-6B,85.00 ,50.00 ,48.33 ,55.00 ,65.99 ,53.24 ,146.25 ,83.75 ,75.25 ,42.50 ,39.29 ,45.00 ,50.00 ,47.50 
Otter,195.00 ,88.33 ,86.67 ,113.33 ,138.78 ,172.65 ,158.75 ,137.25 ,129.00 ,72.50 ,106.43 ,72.50 ,57.50 ,70.00 
Multimodal-GPT,61.67 ,55.00 ,58.33 ,68.33 ,57.82 ,73.82 ,68.00 ,69.75 ,59.50 ,82.50 ,49.29 ,62.50 ,60.00 ,55.00 
PandaGPT,70.00 ,50.00 ,50.00 ,50.00 ,76.53 ,57.06 ,118.00 ,69.75 ,51.25 ,50.00 ,73.57 ,50.00 ,57.50 ,47.50 
LLaVA,185.00 ,155.00 ,133.33 ,170.00 ,160.54 ,152.94 ,161.25 ,170.50 ,117.75 ,125.00 ,127.86 ,42.50 ,77.50 ,47.50 
LaVIN,185.00 ,88.33 ,63.33 ,75.00 ,79.59 ,47.35 ,136.75 ,93.50 ,87.25 ,107.50 ,87.14 ,65.00 ,47.50 ,50.00 
VPGTrans,70.00 ,85.00 ,63.33 ,73.33 ,84.01 ,53.53 ,141.75 ,64.75 ,77.25 ,77.50 ,64.29 ,50.00 ,77.50 ,57.50 
Lynx,195.00 ,151.67 ,90.00 ,170.00 ,124.83 ,118.24 ,164.50 ,162.00 ,119.50 ,77.50 ,110.71 ,17.50 ,42.50 ,45.00 
Octopus,180.00 ,53.33 ,48.33 ,103.33 ,138.10 ,129.41 ,157.25 ,126.00 ,95.00 ,65.00 ,100.00 ,47.50 ,102.50 ,62.50 
LRV-Instruction,165.00 ,111.67 ,86.67 ,165.00 ,139.04 ,112.65 ,147.98 ,160.53 ,101.25 ,110.00 ,100.71 ,70.00 ,85.00 ,72.50 
Cheetor,180.00 ,96.67 ,80.00 ,116.67 ,147.28 ,164.12 ,156.00 ,145.73 ,113.50 ,100.00 ,98.57 ,77.50 ,57.50 ,87.50 
MMICL,170.00 ,160.00 ,81.67 ,156.67 ,146.26 ,141.76 ,153.75 ,136.13 ,135.50 ,100.00 ,136.43 ,82.50 ,132.50 ,77.50 
